frame.time_epoch,ip.src,ip.dst,ip.proto,_ws.col.protocol,frame.len
"1744447523.209640000","192.168.1.13","172.67.6.3","6","SSL","55"
"1744447523.257712000","192.168.1.13","142.250.192.131","6","SSL","55"
"1744447523.257744000","192.168.1.13","142.250.183.195","6","SSL","55"
"1744447523.257761000","192.168.1.13","104.22.27.181","6","SSL","55"
"1744447523.269819000","104.22.27.181","192.168.1.13","6","TCP","66"
"1744447523.276295000","142.250.192.131","192.168.1.13","6","TCP","66"
"1744447523.277556000","142.250.183.195","192.168.1.13","6","TCP","66"
"1744447523.337380000","192.168.1.13","151.101.0.176","6","SSL","55"
"1744447523.365931000","151.101.0.176","192.168.1.13","6","TCP","66"
"1744447523.384242000","192.168.1.13","40.119.213.159","6","SSL","55"
"1744447523.431807000","192.168.1.13","142.251.42.35","6","SSL","55"
"1744447523.451002000","40.119.213.159","192.168.1.13","6","TCP","66"
"1744447523.455490000","142.251.42.35","192.168.1.13","6","TCP","66"
"1744447524.731222000","129.227.206.251","192.168.1.13","6","TLSv1.2","93"
"1744447524.731222000","129.227.206.251","192.168.1.13","6","TLSv1.2","78"
"1744447524.731222000","129.227.206.251","192.168.1.13","6","TCP","54"
"1744447524.731222000","129.227.206.251","192.168.1.13","6","TCP","54"
"1744447524.731302000","192.168.1.13","129.227.206.251","6","TCP","54"
"1744447524.913504000","192.168.1.13","4.213.25.241","6","SSL","55"
"1744447524.947093000","4.213.25.241","192.168.1.13","6","TCP","66"
"1744447525.219203000","192.168.1.13","52.42.109.249","6","TCP","54"
"1744447525.650289000",,,,"ARP","60"
"1744447525.650289000",,,,"ARP","60"
"1744447525.650289000",,,,"ARP","60"
"1744447525.650289000",,,,"ARP","60"
"1744447525.650289000",,,,"ARP","60"
"1744447525.650289000",,,,"ARP","60"
"1744447525.650289000",,,,"ARP","60"
"1744447525.650289000",,,,"ARP","60"
"1744447525.650510000",,,,"ARP","42"
"1744447527.585441000","192.168.1.13","103.57.86.12","6","TCP","66"
"1744447527.587664000","192.168.1.13","103.57.86.12","6","TCP","66"
"1744447527.588278000","192.168.1.13","142.250.70.78","17","UDP","545"
"1744447527.588619000","192.168.1.13","104.18.31.173","6","TLSv1.2","146"
"1744447527.588669000","192.168.1.13","104.18.31.173","6","TLSv1.2","93"
"1744447527.618286000","104.18.31.173","192.168.1.13","6","TCP","54"
"1744447527.618286000","104.18.31.173","192.168.1.13","6","TCP","54"
